0:0:0:0:0:0:0:1 - - [07/Jun/2018:23:48:40 +0530] "GET /ShoppingCartFrontEnd/resources/images/fashion.jpg HTTP/1.1" 200 151677
0:0:0:0:0:0:0:1 - - [07/Jun/2018:23:48:40 +0530] "GET /ShoppingCartFrontEnd/resources/images/s12.jpg HTTP/1.1" 200 120764
0:0:0:0:0:0:0:1 - - [07/Jun/2018:23:48:40 +0530] "GET /ShoppingCartFrontEnd/resources/images/R12.png HTTP/1.1" 200 288768
0:0:0:0:0:0:0:1 - - [07/Jun/2018:23:48:40 +0530] "GET /ShoppingCartFrontEnd/resources/images/ele.jpg HTTP/1.1" 200 116666
0:0:0:0:0:0:0:1 - - [07/Jun/2018:23:48:40 +0530] "GET /ShoppingCartFrontEnd/resources/images/t.jpg HTTP/1.1" 200 54756
0:0:0:0:0:0:0:1 - - [07/Jun/2018:23:48:40 +0530] "GET /ShoppingCartFrontEnd/resources/images/card.png HTTP/1.1" 200 444330
0:0:0:0:0:0:0:1 - - [07/Jun/2018:23:48:42 +0530] "GET /ShoppingCartFrontEnd/login HTTP/1.1" 200 6952
0:0:0:0:0:0:0:1 - - [07/Jun/2018:23:48:42 +0530] "GET /ShoppingCartFrontEnd/resources/css/style.css HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [07/Jun/2018:23:48:42 +0530] "GET /ShoppingCartFrontEnd/resources/images/R12.png HTTP/1.1" 200 288768
0:0:0:0:0:0:0:1 - - [07/Jun/2018:23:48:42 +0530] "GET /ShoppingCartFrontEnd/resources/images/12.jpg HTTP/1.1" 200 60904
0:0:0:0:0:0:0:1 - - [07/Jun/2018:23:48:42 +0530] "GET /ShoppingCartFrontEnd/resources/images/s12.jpg HTTP/1.1" 200 120764
0:0:0:0:0:0:0:1 - - [07/Jun/2018:23:48:43 +0530] "GET /ShoppingCartFrontEnd/resources/images/fashion.jpg HTTP/1.1" 200 151677
0:0:0:0:0:0:0:1 - - [07/Jun/2018:23:48:43 +0530] "GET /ShoppingCartFrontEnd/resources/images/card.png HTTP/1.1" 200 444330
0:0:0:0:0:0:0:1 - - [07/Jun/2018:23:48:43 +0530] "GET /ShoppingCartFrontEnd/resources/images/ele.jpg HTTP/1.1" 200 116666
0:0:0:0:0:0:0:1 - - [07/Jun/2018:23:48:43 +0530] "GET /ShoppingCartFrontEnd/resources/images/t.jpg HTTP/1.1" 200 54756
0:0:0:0:0:0:0:1 - - [07/Jun/2018:23:48:58 +0530] "POST /ShoppingCartFrontEnd/perform_login HTTP/1.1" 200 6793
0:0:0:0:0:0:0:1 - - [07/Jun/2018:23:48:58 +0530] "GET /ShoppingCartFrontEnd/resources/css/style.css HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [07/Jun/2018:23:48:58 +0530] "GET /ShoppingCartFrontEnd/resources/images/R12.png HTTP/1.1" 200 288768
0:0:0:0:0:0:0:1 - - [07/Jun/2018:23:48:58 +0530] "GET /ShoppingCartFrontEnd/resources/images/12.jpg HTTP/1.1" 200 60904
0:0:0:0:0:0:0:1 - - [07/Jun/2018:23:48:58 +0530] "GET /ShoppingCartFrontEnd/resources/images/s12.jpg HTTP/1.1" 200 120764
0:0:0:0:0:0:0:1 - - [07/Jun/2018:23:48:58 +0530] "GET /ShoppingCartFrontEnd/resources/images/fashion.jpg HTTP/1.1" 200 151677
0:0:0:0:0:0:0:1 - - [07/Jun/2018:23:48:58 +0530] "GET /ShoppingCartFrontEnd/resources/images/card.png HTTP/1.1" 200 444330
0:0:0:0:0:0:0:1 - - [07/Jun/2018:23:48:59 +0530] "GET /ShoppingCartFrontEnd/resources/images/ele.jpg HTTP/1.1" 200 116666
0:0:0:0:0:0:0:1 - - [07/Jun/2018:23:48:59 +0530] "GET /ShoppingCartFrontEnd/resources/images/t.jpg HTTP/1.1" 200 54756
0:0:0:0:0:0:0:1 - - [07/Jun/2018:23:49:01 +0530] "GET /ShoppingCartFrontEnd/manage_products HTTP/1.1" 200 12249
0:0:0:0:0:0:0:1 - - [07/Jun/2018:23:49:01 +0530] "GET /ShoppingCartFrontEnd/resources/css/style.css HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [07/Jun/2018:23:49:02 +0530] "GET /ShoppingCartFrontEnd/resources/images/R12.png HTTP/1.1" 200 288768
0:0:0:0:0:0:0:1 - - [07/Jun/2018:23:49:02 +0530] "GET /ShoppingCartFrontEnd/resources/images/12.jpg HTTP/1.1" 200 60904
0:0:0:0:0:0:0:1 - - [07/Jun/2018:23:49:02 +0530] "GET /ShoppingCartFrontEnd/resources/images/s12.jpg HTTP/1.1" 200 120764
0:0:0:0:0:0:0:1 - - [07/Jun/2018:23:49:02 +0530] "GET /ShoppingCartFrontEnd/resources/images/fashion.jpg HTTP/1.1" 200 151677
