127.0.0.1 - - [09/Jun/2018:11:29:54 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:01 +0530] "GET /ShoppingCartFrontEnd/resources/Mid_001.jpg HTTP/1.1" 200 27233
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:19 +0530] "GET /ShoppingCartFrontEnd/ HTTP/1.1" 200 14386
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:19 +0530] "GET /ShoppingCartFrontEnd/resources/css/style.css HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:19 +0530] "GET /ShoppingCartFrontEnd/resources/images/R12.png HTTP/1.1" 200 288768
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:19 +0530] "GET /ShoppingCartFrontEnd/resources/images/t.jpg HTTP/1.1" 200 54756
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:19 +0530] "GET /ShoppingCartFrontEnd/resources/images/ele.jpg HTTP/1.1" 200 116666
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:19 +0530] "GET /ShoppingCartFrontEnd/resources/Pid_002.jpg HTTP/1.1" 200 20426
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:19 +0530] "GET /ShoppingCartFrontEnd/resources/images/fashion.jpg HTTP/1.1" 200 151677
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:19 +0530] "GET /ShoppingCartFrontEnd/resources/Bid_001.jpg HTTP/1.1" 200 50408
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:19 +0530] "GET /ShoppingCartFrontEnd/resources/images/s12.jpg HTTP/1.1" 200 120764
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:19 +0530] "GET /ShoppingCartFrontEnd/resources/images/12.jpg HTTP/1.1" 200 60904
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:19 +0530] "GET /ShoppingCartFrontEnd/resources/Bid_004.jpg HTTP/1.1" 200 50882
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:19 +0530] "GET /ShoppingCartFrontEnd/resources/Sid_001.jpg HTTP/1.1" 200 41348
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:19 +0530] "GET /ShoppingCartFrontEnd/resources/Bid_003.jpg HTTP/1.1" 200 34151
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:19 +0530] "GET /ShoppingCartFrontEnd/resources/Sid_003.jpg HTTP/1.1" 200 41304
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:19 +0530] "GET /ShoppingCartFrontEnd/resources/images/card.png HTTP/1.1" 200 444330
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:19 +0530] "GET /ShoppingCartFrontEnd/resources/Pid_001.jpg HTTP/1.1" 200 27211
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:19 +0530] "GET /ShoppingCartFrontEnd/resources/Bid_002.jpg HTTP/1.1" 200 45718
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:19 +0530] "GET /ShoppingCartFrontEnd/resources/Eid_002.jpg HTTP/1.1" 200 51256
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:19 +0530] "GET /ShoppingCartFrontEnd/resources/Eid_003.jpg HTTP/1.1" 200 111954
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:19 +0530] "GET /ShoppingCartFrontEnd/resources/Fid_002.jpg HTTP/1.1" 200 46805
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:19 +0530] "GET /ShoppingCartFrontEnd/resources/Mid_001.jpg HTTP/1.1" 200 27233
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:20 +0530] "GET /ShoppingCartFrontEnd/resources/Fid_003.jpg HTTP/1.1" 200 75488
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:20 +0530] "GET /ShoppingCartFrontEnd/resources/GAS_001.jpg HTTP/1.1" 200 22423
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:20 +0530] "GET /ShoppingCartFrontEnd/resources/Eid_001.jpg HTTP/1.1" 200 67564
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:20 +0530] "GET /ShoppingCartFrontEnd/resources/Sid_002.jpg HTTP/1.1" 200 45958
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:20 +0530] "GET /ShoppingCartFrontEnd/resources/Ms_001.jpg HTTP/1.1" 200 30361
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:20 +0530] "GET /ShoppingCartFrontEnd/resources/Fid_001.jpg HTTP/1.1" 200 57149
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:20 +0530] "GET /favicon.ico HTTP/1.1" 404 1084
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:40 +0530] "GET /ShoppingCartFrontEnd/login HTTP/1.1" 200 6952
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:40 +0530] "GET /ShoppingCartFrontEnd/resources/css/style.css HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:40 +0530] "GET /ShoppingCartFrontEnd/resources/images/12.jpg HTTP/1.1" 200 60904
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:40 +0530] "GET /ShoppingCartFrontEnd/resources/images/fashion.jpg HTTP/1.1" 200 151677
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:40 +0530] "GET /ShoppingCartFrontEnd/resources/images/card.png HTTP/1.1" 200 444330
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:40 +0530] "GET /ShoppingCartFrontEnd/resources/images/s12.jpg HTTP/1.1" 200 120764
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:40 +0530] "GET /ShoppingCartFrontEnd/resources/images/ele.jpg HTTP/1.1" 200 116666
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:40 +0530] "GET /ShoppingCartFrontEnd/resources/images/R12.png HTTP/1.1" 200 288768
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:40 +0530] "GET /ShoppingCartFrontEnd/resources/images/t.jpg HTTP/1.1" 200 54756
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:57 +0530] "POST /ShoppingCartFrontEnd/perform_login HTTP/1.1" 200 5754
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:57 +0530] "GET /ShoppingCartFrontEnd/resources/css/style.css HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:58 +0530] "GET /ShoppingCartFrontEnd/resources/images/R12.png HTTP/1.1" 200 288768
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:58 +0530] "GET /ShoppingCartFrontEnd/resources/images/12.jpg HTTP/1.1" 200 60904
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:58 +0530] "GET /ShoppingCartFrontEnd/resources/images/s12.jpg HTTP/1.1" 200 120764
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:58 +0530] "GET /ShoppingCartFrontEnd/resources/images/fashion.jpg HTTP/1.1" 200 151677
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:58 +0530] "GET /ShoppingCartFrontEnd/resources/images/card.png HTTP/1.1" 200 444330
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:58 +0530] "GET /ShoppingCartFrontEnd/resources/images/ele.jpg HTTP/1.1" 200 116666
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:30:58 +0530] "GET /ShoppingCartFrontEnd/resources/images/t.jpg HTTP/1.1" 200 54756
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:03 +0530] "GET /ShoppingCartFrontEnd/productPage HTTP/1.1" 200 5311
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:03 +0530] "GET /ShoppingCartFrontEnd/resources/Pid_001.jpg HTTP/1.1" 200 27211
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:03 +0530] "GET /ShoppingCartFrontEnd/resources/Pid_002.jpg HTTP/1.1" 200 20426
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:03 +0530] "GET /ShoppingCartFrontEnd/resources/GAS_001.jpg HTTP/1.1" 200 22423
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:03 +0530] "GET /ShoppingCartFrontEnd/resources/Bid_001.jpg HTTP/1.1" 200 50408
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:03 +0530] "GET /ShoppingCartFrontEnd/resources/Bid_002.jpg HTTP/1.1" 200 45718
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:03 +0530] "GET /ShoppingCartFrontEnd/resources/Bid_004.jpg HTTP/1.1" 200 50882
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:03 +0530] "GET /ShoppingCartFrontEnd/resources/Eid_002.jpg HTTP/1.1" 200 51256
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:03 +0530] "GET /ShoppingCartFrontEnd/resources/Bid_003.jpg HTTP/1.1" 200 34151
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:03 +0530] "GET /ShoppingCartFrontEnd/resources/Sid_001.jpg HTTP/1.1" 200 41348
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:03 +0530] "GET /ShoppingCartFrontEnd/resources/Fid_001.jpg HTTP/1.1" 200 57149
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:03 +0530] "GET /ShoppingCartFrontEnd/resources/Sid_003.jpg HTTP/1.1" 200 41304
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:04 +0530] "GET /ShoppingCartFrontEnd/resources/Sid_002.jpg HTTP/1.1" 200 45958
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:04 +0530] "GET /ShoppingCartFrontEnd/resources/Eid_001.jpg HTTP/1.1" 200 67564
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:04 +0530] "GET /ShoppingCartFrontEnd/resources/Eid_003.jpg HTTP/1.1" 200 111954
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:04 +0530] "GET /ShoppingCartFrontEnd/resources/Fid_002.jpg HTTP/1.1" 200 46805
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:04 +0530] "GET /ShoppingCartFrontEnd/resources/Fid_003.jpg HTTP/1.1" 200 75488
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:04 +0530] "GET /ShoppingCartFrontEnd/resources/Mid_001.jpg HTTP/1.1" 200 27233
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:04 +0530] "GET /ShoppingCartFrontEnd/resources/Ms_001.jpg HTTP/1.1" 200 30361
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:10 +0530] "GET /ShoppingCartFrontEnd/productDesc/Ms_001 HTTP/1.1" 200 1612
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:10 +0530] "GET /ShoppingCartFrontEnd/resources/Ms_001.jpg HTTP/1.1" 200 30361
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:13 +0530] "GET /ShoppingCartFrontEnd/addToCart/Ms_001?quantity=1 HTTP/1.1" 200 2048
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:13 +0530] "GET /ShoppingCartFrontEnd/resources/Pid_002.jpg HTTP/1.1" 200 20426
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:13 +0530] "GET /ShoppingCartFrontEnd/resources/Pid_003.jpg HTTP/1.1" 200 39814
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:13 +0530] "GET /ShoppingCartFrontEnd/resources/Ms_001.jpg HTTP/1.1" 200 30361
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:16 +0530] "GET /ShoppingCartFrontEnd/deleteCartItem/5 HTTP/1.1" 200 1597
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:16 +0530] "GET /ShoppingCartFrontEnd/resources/Pid_003.jpg HTTP/1.1" 200 39814
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:16 +0530] "GET /ShoppingCartFrontEnd/resources/Ms_001.jpg HTTP/1.1" 200 30361
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:17 +0530] "GET /ShoppingCartFrontEnd/deleteCartItem/4 HTTP/1.1" 200 1140
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:17 +0530] "GET /ShoppingCartFrontEnd/resources/Ms_001.jpg HTTP/1.1" 200 30361
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:25 +0530] "GET /ShoppingCartFrontEnd/orderConfirm HTTP/1.1" 200 6869
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:25 +0530] "GET /ShoppingCartFrontEnd/resources/css/style.css HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:25 +0530] "GET /ShoppingCartFrontEnd/resources/images/12.jpg HTTP/1.1" 200 60904
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:25 +0530] "GET /ShoppingCartFrontEnd/resources/images/R12.png HTTP/1.1" 200 288768
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:25 +0530] "GET /ShoppingCartFrontEnd/resources/images/ele.jpg HTTP/1.1" 200 116666
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:25 +0530] "GET /ShoppingCartFrontEnd/resources/images/fashion.jpg HTTP/1.1" 200 151677
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:25 +0530] "GET /ShoppingCartFrontEnd/resources/images/card.png HTTP/1.1" 200 444330
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:25 +0530] "GET /ShoppingCartFrontEnd/resources/images/t.jpg HTTP/1.1" 200 54756
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:25 +0530] "GET /ShoppingCartFrontEnd/resources/images/s12.jpg HTTP/1.1" 200 120764
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:25 +0530] "GET /ShoppingCartFrontEnd/resources/Ms_001.jpg HTTP/1.1" 200 30361
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:28 +0530] "GET /ShoppingCartFrontEnd/perform_logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:28 +0530] "GET /ShoppingCartFrontEnd/login HTTP/1.1" 200 6952
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:28 +0530] "GET /ShoppingCartFrontEnd/resources/css/style.css HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:28 +0530] "GET /ShoppingCartFrontEnd/resources/images/R12.png HTTP/1.1" 200 288768
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:28 +0530] "GET /ShoppingCartFrontEnd/resources/images/12.jpg HTTP/1.1" 200 60904
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:28 +0530] "GET /ShoppingCartFrontEnd/resources/images/s12.jpg HTTP/1.1" 200 120764
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:28 +0530] "GET /ShoppingCartFrontEnd/resources/images/fashion.jpg HTTP/1.1" 200 151677
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:28 +0530] "GET /ShoppingCartFrontEnd/resources/images/card.png HTTP/1.1" 200 444330
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:28 +0530] "GET /ShoppingCartFrontEnd/resources/images/ele.jpg HTTP/1.1" 200 116666
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:31:28 +0530] "GET /ShoppingCartFrontEnd/resources/images/t.jpg HTTP/1.1" 200 54756
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:32:38 +0530] "GET /ShoppingCartFrontEnd/login HTTP/1.1" 200 6952
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:32:39 +0530] "GET /ShoppingCartFrontEnd/resources/css/style.css HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:32:40 +0530] "GET /ShoppingCartFrontEnd/resources/images/12.jpg HTTP/1.1" 200 60904
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:32:40 +0530] "GET /ShoppingCartFrontEnd/resources/images/R12.png HTTP/1.1" 200 288768
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:32:40 +0530] "GET /ShoppingCartFrontEnd/resources/images/fashion.jpg HTTP/1.1" 200 151677
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:32:40 +0530] "GET /ShoppingCartFrontEnd/resources/images/card.png HTTP/1.1" 200 444330
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:32:40 +0530] "GET /ShoppingCartFrontEnd/resources/images/ele.jpg HTTP/1.1" 200 116666
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:32:40 +0530] "GET /ShoppingCartFrontEnd/resources/images/t.jpg HTTP/1.1" 200 54756
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:32:40 +0530] "GET /ShoppingCartFrontEnd/resources/images/s12.jpg HTTP/1.1" 200 120764
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:32:49 +0530] "GET /ShoppingCartFrontEnd/login HTTP/1.1" 200 6952
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:32:49 +0530] "GET /ShoppingCartFrontEnd/resources/css/style.css HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:32:49 +0530] "GET /ShoppingCartFrontEnd/resources/images/12.jpg HTTP/1.1" 200 60904
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:32:49 +0530] "GET /ShoppingCartFrontEnd/resources/images/s12.jpg HTTP/1.1" 200 120764
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:32:49 +0530] "GET /ShoppingCartFrontEnd/resources/images/fashion.jpg HTTP/1.1" 200 151677
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:32:49 +0530] "GET /ShoppingCartFrontEnd/resources/images/R12.png HTTP/1.1" 200 288768
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:32:49 +0530] "GET /ShoppingCartFrontEnd/resources/images/ele.jpg HTTP/1.1" 200 116666
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:32:49 +0530] "GET /ShoppingCartFrontEnd/resources/images/t.jpg HTTP/1.1" 200 54756
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:32:49 +0530] "GET /ShoppingCartFrontEnd/resources/images/card.png HTTP/1.1" 200 444330
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:33:02 +0530] "GET /ShoppingCartFrontEnd/register HTTP/1.1" 200 7776
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:33:02 +0530] "GET /ShoppingCartFrontEnd/resources/css/style.css HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:33:02 +0530] "GET /ShoppingCartFrontEnd/resources/images/12.jpg HTTP/1.1" 200 60904
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:33:02 +0530] "GET /ShoppingCartFrontEnd/resources/images/R12.png HTTP/1.1" 200 288768
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:33:02 +0530] "GET /ShoppingCartFrontEnd/resources/images/fashion.jpg HTTP/1.1" 200 151677
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:33:02 +0530] "GET /ShoppingCartFrontEnd/resources/images/s12.jpg HTTP/1.1" 200 120764
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:33:02 +0530] "GET /ShoppingCartFrontEnd/resources/images/t.jpg HTTP/1.1" 200 54756
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:33:02 +0530] "GET /ShoppingCartFrontEnd/resources/images/ele.jpg HTTP/1.1" 200 116666
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:33:02 +0530] "GET /ShoppingCartFrontEnd/resources/images/card.png HTTP/1.1" 200 444330
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:35:29 +0530] "GET /ShoppingCartFrontEnd/register HTTP/1.1" 200 7750
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:35:30 +0530] "GET /ShoppingCartFrontEnd/resources/css/style.css HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:35:31 +0530] "GET /ShoppingCartFrontEnd/resources/images/12.jpg HTTP/1.1" 200 60904
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:35:31 +0530] "GET /ShoppingCartFrontEnd/resources/images/R12.png HTTP/1.1" 200 288768
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:35:31 +0530] "GET /ShoppingCartFrontEnd/resources/images/s12.jpg HTTP/1.1" 200 120764
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:35:31 +0530] "GET /ShoppingCartFrontEnd/resources/images/fashion.jpg HTTP/1.1" 200 151677
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:35:31 +0530] "GET /ShoppingCartFrontEnd/resources/images/card.png HTTP/1.1" 200 444330
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:35:31 +0530] "GET /ShoppingCartFrontEnd/resources/images/ele.jpg HTTP/1.1" 200 116666
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:35:31 +0530] "GET /ShoppingCartFrontEnd/resources/images/t.jpg HTTP/1.1" 200 54756
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:36:23 +0530] "POST /ShoppingCartFrontEnd/save HTTP/1.1" 200 5606
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:36:23 +0530] "GET /ShoppingCartFrontEnd/resources/css/style.css HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:36:23 +0530] "GET /ShoppingCartFrontEnd/resources/images/12.jpg HTTP/1.1" 200 60904
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:36:23 +0530] "GET /ShoppingCartFrontEnd/resources/images/R12.png HTTP/1.1" 200 288768
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:36:23 +0530] "GET /ShoppingCartFrontEnd/resources/images/fashion.jpg HTTP/1.1" 200 151677
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:36:23 +0530] "GET /ShoppingCartFrontEnd/resources/images/card.png HTTP/1.1" 200 444330
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:36:23 +0530] "GET /ShoppingCartFrontEnd/resources/images/s12.jpg HTTP/1.1" 200 120764
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:36:23 +0530] "GET /ShoppingCartFrontEnd/resources/images/t.jpg HTTP/1.1" 200 54756
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:36:23 +0530] "GET /ShoppingCartFrontEnd/resources/images/ele.jpg HTTP/1.1" 200 116666
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:36:31 +0530] "GET /ShoppingCartFrontEnd/login HTTP/1.1" 200 6952
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:36:31 +0530] "GET /ShoppingCartFrontEnd/resources/css/style.css HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [09/Jun/2018:11:36:31 +0530] "GET /ShoppingCartFrontEnd/resources/images/12.jpg HTTP/1.1" 200 60904
