127.0.0.1 - - [02/Jun/2018:14:48:00 +0530] "GET / HTTP/1.1" 404 1073
0:0:0:0:0:0:0:1 - - [02/Jun/2018:14:48:09 +0530] "GET /ShoppingCartFrontEnd/ HTTP/1.1" 200 7166
0:0:0:0:0:0:0:1 - - [02/Jun/2018:14:48:09 +0530] "GET /ShoppingCartFrontEnd/resources/images/R12.png HTTP/1.1" 200 288768
0:0:0:0:0:0:0:1 - - [02/Jun/2018:14:48:09 +0530] "GET /ShoppingCartFrontEnd/resources/css/style.css HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [02/Jun/2018:14:48:09 +0530] "GET /ShoppingCartFrontEnd/resources/images/s12.jpg HTTP/1.1" 200 120764
0:0:0:0:0:0:0:1 - - [02/Jun/2018:14:48:09 +0530] "GET /ShoppingCartFrontEnd/resources/images/12.jpg HTTP/1.1" 200 60904
0:0:0:0:0:0:0:1 - - [02/Jun/2018:14:48:09 +0530] "GET /ShoppingCartFrontEnd/resources/images/fashion.jpg HTTP/1.1" 200 151677
0:0:0:0:0:0:0:1 - - [02/Jun/2018:14:48:09 +0530] "GET /ShoppingCartFrontEnd/resources/images/ele.jpg HTTP/1.1" 200 116666
0:0:0:0:0:0:0:1 - - [02/Jun/2018:14:48:09 +0530] "GET /ShoppingCartFrontEnd/resources/images/t.jpg HTTP/1.1" 200 54756
0:0:0:0:0:0:0:1 - - [02/Jun/2018:14:48:09 +0530] "GET /ShoppingCartFrontEnd/resources/images/card.png HTTP/1.1" 200 444330
0:0:0:0:0:0:0:1 - - [02/Jun/2018:14:48:14 +0530] "GET /ShoppingCartFrontEnd/login HTTP/1.1" 200 8557
0:0:0:0:0:0:0:1 - - [02/Jun/2018:14:48:14 +0530] "GET /ShoppingCartFrontEnd/resources/css/style.css HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [02/Jun/2018:14:48:14 +0530] "GET /ShoppingCartFrontEnd/resources/images/12.jpg HTTP/1.1" 200 60904
0:0:0:0:0:0:0:1 - - [02/Jun/2018:14:48:14 +0530] "GET /ShoppingCartFrontEnd/resources/images/R12.png HTTP/1.1" 200 288768
0:0:0:0:0:0:0:1 - - [02/Jun/2018:14:48:14 +0530] "GET /ShoppingCartFrontEnd/resources/images/s12.jpg HTTP/1.1" 200 120764
0:0:0:0:0:0:0:1 - - [02/Jun/2018:14:48:14 +0530] "GET /ShoppingCartFrontEnd/resources/images/fashion.jpg HTTP/1.1" 200 151677
0:0:0:0:0:0:0:1 - - [02/Jun/2018:14:48:14 +0530] "GET /ShoppingCartFrontEnd/resources/images/ele.jpg HTTP/1.1" 200 116666
